Student_ID,Student_Name,Teaching_Method,Academic_Score,Attendance,Study_Hours,Semester
S001,Student 1,Traditional,64,82,4.3,4
S002,Student 2,Traditional,71,88,3.6,4
S003,Student 3,Traditional,66,86,2.7,4
S004,Student 4,Traditional,68,84,1.5,4
S005,Student 5,Traditional,77,80,4.0,4
S006,Student 6,Traditional,70,91,2.3,4
S007,Student 7,Traditional,68,85,1.0,4
S008,Student 8,Traditional,74,91,4.1,4
S009,Student 9,Traditional,74,83,4.3,4
S010,Student 10,Traditional,76,85,3.0,4
S011,Student 11,Traditional,67,77,4.2,4
S012,Student 12,Traditional,56,82,3.2,4
S013,Student 13,Traditional,75,92,4.0,4
S014,Student 14,Traditional,68,87,1.7,4
S015,Student 15,Traditional,78,83,2.3,4
S016,Student 16,Traditional,66,83,2.6,4
S017,Student 17,Traditional,83,80,3.0,4
S018,Student 18,Traditional,70,84,3.1,4
S019,Student 19,Traditional,67,81,2.1,4
S020,Student 20,Traditional,61,85,4.0,4
S021,Student 21,Traditional,66,81,2.7,4
S022,Student 22,Traditional,67,76,4.4,4
S023,Student 23,Traditional,72,80,3.3,4
S024,Student 24,Traditional,67,82,3.4,4
S025,Student 25,Traditional,75,91,4.7,4
S026,Student 26,Traditional,68,81,3.1,4
S027,Student 27,Traditional,70,80,2.4,4
S028,Student 28,Traditional,74,92,2.8,4
S029,Student 29,Traditional,66,82,2.0,4
S030,Student 30,Traditional,68,86,2.9,4
S031,Student 31,Modern,87,90,5.0,4
S032,Student 32,Modern,79,96,3.3,4
S033,Student 33,Modern,78,84,5.3,4
S034,Student 34,Modern,85,87,6.2,4
S035,Student 35,Modern,78,83,4.2,4
S036,Student 36,Modern,82,88,6.8,4
S037,Student 37,Modern,85,98,5.9,4
S038,Student 38,Modern,69,88,1.8,4
S039,Student 39,Modern,76,95,3.7,4
S040,Student 40,Modern,76,91,5.3,4
S041,Student 41,Modern,77,88,5.3,4
S042,Student 42,Modern,81,88,4.8,4
S043,Student 43,Modern,80,91,6.5,4
S044,Student 44,Modern,78,87,5.9,4
S045,Student 45,Modern,75,98,4.3,4
S046,Student 46,Modern,80,93,5.7,4
S047,Student 47,Modern,85,88,4.1,4
S048,Student 48,Modern,82,90,3.9,4
S049,Student 49,Modern,82,94,4.7,4
S050,Student 50,Modern,89,92,4.3,4
S051,Student 51,Modern,80,87,3.5,4
S052,Student 52,Modern,82,85,4.1,4
S053,Student 53,Modern,79,91,5.0,4
S054,Student 54,Modern,80,80,4.3,4
S055,Student 55,Modern,75,89,5.5,4
S056,Student 56,Modern,84,91,5.0,4
S057,Student 57,Modern,71,90,5.1,4
S058,Student 58,Modern,75,92,4.1,4
S059,Student 59,Modern,86,95,4.0,4
S060,Student 60,Modern,88,89,6.6,4
