Student_ID,Student_Name,Teaching_Method,Academic_Score,Attendance,Study_Hours,Semester
S001,Student 1,Traditional,73,78,3.8,4
S002,Student 2,Traditional,77,74,1.7,4
S003,Student 3,Traditional,72,82,3.0,4
S004,Student 4,Traditional,66,88,3.8,4
S005,Student 5,Traditional,72,89,3.5,4
S006,Student 6,Traditional,66,85,2.0,4
S007,Student 7,Traditional,77,83,2.8,4
S008,Student 8,Traditional,67,90,2.8,4
S009,Student 9,Traditional,69,82,3.5,4
S010,Student 10,Traditional,74,86,3.4,4
S011,Student 11,Traditional,84,81,2.5,4
S012,Student 12,Traditional,67,87,4.1,4
S013,Student 13,Traditional,71,79,2.2,4
S014,Student 14,Traditional,75,87,3.5,4
S015,Student 15,Traditional,68,85,3.1,4
S016,Student 16,Traditional,73,88,3.2,4
S017,Student 17,Traditional,76,84,3.3,4
S018,Student 18,Traditional,75,76,2.7,4
S019,Student 19,Traditional,69,80,2.7,4
S020,Student 20,Traditional,80,79,4.0,4
S021,Student 21,Traditional,61,82,3.2,4
S022,Student 22,Traditional,75,87,3.8,4
S023,Student 23,Traditional,69,81,3.9,4
S024,Student 24,Traditional,70,77,1.9,4
S025,Student 25,Traditional,66,86,3.1,4
S026,Student 26,Traditional,76,81,3.2,4
S027,Student 27,Traditional,75,82,3.5,4
S028,Student 28,Traditional,68,82,2.6,4
S029,Student 29,Traditional,64,86,2.5,4
S030,Student 30,Traditional,72,86,3.4,4
S031,Student 31,Modern,83,88,3.6,4
S032,Student 32,Modern,79,80,2.6,4
S033,Student 33,Modern,72,84,4.4,4
S034,Student 34,Modern,74,87,5.3,4
S035,Student 35,Modern,77,92,3.1,4
S036,Student 36,Modern,78,84,3.7,4
S037,Student 37,Modern,85,80,4.4,4
S038,Student 38,Modern,81,86,2.6,4
S039,Student 39,Modern,80,86,4.2,4
S040,Student 40,Modern,80,97,3.8,4
S041,Student 41,Modern,73,89,4.2,4
S042,Student 42,Modern,88,93,4.4,4
S043,Student 43,Modern,88,83,3.4,4
S044,Student 44,Modern,74,87,2.6,4
S045,Student 45,Modern,83,87,2.5,4
S046,Student 46,Modern,73,90,4.8,4
S047,Student 47,Modern,91,100,4.4,4
S048,Student 48,Modern,74,78,4.3,4
S049,Student 49,Modern,75,86,3.4,4
S050,Student 50,Modern,79,94,4.2,4
S051,Student 51,Modern,79,83,2.3,4
S052,Student 52,Modern,77,88,5.8,4
S053,Student 53,Modern,80,93,3.5,4
S054,Student 54,Modern,72,84,3.3,4
S055,Student 55,Modern,92,84,4.8,4
S056,Student 56,Modern,74,93,4.4,4
S057,Student 57,Modern,79,88,3.3,4
S058,Student 58,Modern,82,86,2.8,4
S059,Student 59,Modern,72,89,5.6,4
S060,Student 60,Modern,80,88,4.3,4
